pima,0.672689138576779,0.6472509363295881,0.6479625468164794,0.7292359550561798,0.7329662921348314,2.0,4.0,3.0,1.0,0.0
shuttle,0.997636601330718,0.5369833705879861,0.9874245954204715,0.7093476679687358,0.9865981589789337,0.0,4.0,1.0,3.0,2.0
satellite,0.7105255693112873,0.5655267486292662,0.6790227027645178,0.7081552071802596,0.7743151691561889,1.0,4.0,3.0,2.0,0.0
pendigits,0.9582020343229938,0.5437001302486183,0.9606847792457802,0.8605556765097953,0.9654869808675858,2.0,4.0,1.0,3.0,0.0
mammography,0.8616895327708365,0.8213552744636795,0.8443850097896975,0.8461151099404166,0.8620893961376473,1.0,4.0,3.0,2.0,0.0
satimage-2,0.9943917562257159,0.5949850209264662,0.9966158844534665,0.9986040830570582,0.9844888560116589,2.0,4.0,1.0,0.0,3.0
optdigits,0.7410095426127016,0.6659980256663376,0.5673919052319842,0.4188871339256334,0.7271839420862126,0.0,2.0,3.0,4.0,1.0
mnist,0.8111652937036884,0.7420271556898621,0.8226503704930248,0.8597617667756758,0.8583616550068303,3.0,4.0,2.0,0.0,1.0
thyroid,0.98115794582142,0.946373964344811,0.9275348336812317,0.9509770387131856,0.9516348295883107,0.0,3.0,4.0,2.0,1.0
vowels,0.7851814946619217,0.9484839857651246,0.9535943060498222,0.9797010676156583,0.9634519572953736,4.0,3.0,2.0,0.0,1.0
musk,1.0,0.5279019111860596,1.0,0.9970840359752671,0.9895850899381675,0.5,4.0,0.5,2.0,3.0
arrhythmia,0.8184137106416898,0.7896373056994819,0.7902351534475885,0.8055400557991231,0.7893981666002392,0.0,3.0,2.0,1.0,4.0
wine,0.8366013071895426,0.9355742296918768,0.7180205415499533,0.9290382819794585,0.9056956115779645,3.0,0.0,4.0,1.0,2.0
cardio,0.9256176486753875,0.7467159503132901,0.932226970429812,0.9202123639661428,0.9462803671540068,2.0,4.0,1.0,3.0,0.0
wbc,0.9372659176029962,0.9491706795077581,0.946629213483146,0.9490369181380417,0.952247191011236,4.0,1.0,3.0,2.0,0.0
breastw,0.9867771092871916,0.46706083474220084,0.9783711287626209,0.9881655128120367,0.9915656847096158,2.0,4.0,3.0,1.0,0.0
lympho,1.0,0.995774647887324,0.9971830985915493,0.9971830985915493,0.9901408450704225,0.0,3.0,1.5,1.5,4.0
vertebral,0.35789473684210527,0.47304625199362044,0.41052631578947363,0.37607655502392345,0.48548644338118024,4.0,1.0,2.0,3.0,0.0
glass,0.7184095860566448,0.7946623093681917,0.8148148148148148,0.8496732026143791,0.8572984749455337,4.0,3.0,2.0,1.0,0.0
annthyroid,0.8232237834739584,0.7180177066738594,0.6342422684322766,0.7342783729640275,0.7406514549985812,0.0,3.0,4.0,2.0,1.0
ionosphere,0.8623511904761905,0.9015731292517007,0.9064980158730158,0.9314236111111112,0.9292268990929705,4.0,3.0,2.0,0.0,1.0
letter,0.6388325550366911,0.9036557705136758,0.5953702468312208,0.8949566377585056,0.9046897931954637,3.0,1.0,4.0,2.0,0.0
